release_date,price,average_playtime,release_month,release_year,multi_player,single_player,sports,total_ratings
2009-10-08,6.99,0,10,2009,1,1,0,24
2008-12-15,6.99,48,12,2008,0,1,0,1141
2011-09-16,3.99,13,9,2011,0,1,0,33
2012-01-27,7.99,46,1,2012,0,1,0,357
2010-09-01,14.99,0,9,2010,0,1,0,43
2010-10-01,14.99,0,10,2010,0,1,0,30
2011-06-08,7.19,31,6,2011,1,1,0,862
2009-06-26,9.99,1905,6,2009,0,1,0,2396
2009-03-12,9.99,431,3,2009,1,1,0,11226
2010-07-20,9.99,228,7,2010,0,1,0,4069
2009-11-13,9.99,646,11,2009,0,1,0,2587
2009-10-06,9.99,136,10,2009,0,1,0,1811
2009-11-13,9.99,0,11,2009,1,1,0,1146
2009-10-06,9.99,28,10,2009,1,1,0,2186
